restaurant_name,rating,average_price,average_delivery_time,south_indian_or_not,north_indian_or_not,fast_food_or_not,street_food,biryani_or_not,bakery_or_not,location,City Tier,State/U.T,Region
Lords Of Wings,4.0,100,37,0,0,1,0,1,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Los Amigo's Cafe,4.1,350,44,0,0,1,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
Los Fiesta,3.9,150,28,0,0,1,0,0,0,Amritsar,Tier 2 Cities,Punjab,North India
Lotus Bakery,3.7,100,29,0,0,0,0,0,1,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
Lotus Cafe,3.5,450,26,0,0,1,1,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Lotus Cakes,3.5,100,21,0,0,0,0,0,1,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
Lotus Hotel,3.8,50,21,0,1,0,0,1,0,Solapur,Tier 2 Cities,Maharashtra,West India
Lotus Hut Cafe,4.3,300,27,0,0,1,0,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Lotus Ice Cream,4.6,100,30,0,0,0,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
Lotus Kitchen,3.4,100,42,0,1,0,0,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Louis Burger,3.9,250,40,0,0,1,0,0,0,NCR,NCR,NCR,NCR
Louis Burger,4.0,500,47,0,0,1,0,0,0,Delhi NCR,Tier 1  Cities,Delhi NCR,North India
Louis Burger,4.1,350,41,0,0,1,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
Louis Burger,4.2,100,42,0,0,1,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
Louis Burger,4.2,100,58,0,0,1,0,0,0,Chennai,Tier 1  Cities,Tamil Nadu,South India
Louis Burger,4.2,350,51,0,0,1,0,0,0,Bangalore,Tier 1  Cities,Karnataka,South India
Louisville Chicken,3.3,100,33,0,0,1,0,0,0,Ranchi,Tier 2 Cities,Jharkhand,East India
Lov Cafe,4.1,150,40,0,0,1,0,0,0,Cuttack,Tier 2 Cities,Odisha,East India
Lov Momoz,4.3,150,37,0,0,0,0,0,0,Cuttack,Tier 2 Cities,Odisha,East India
Love 2 Juice,4.2,100,29,0,0,0,0,0,0,Siliguri,Tier 2 Cities,West Bengal,East India
Love 4 Biryani,4.0,250,51,0,1,0,0,1,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Love 99 Cakes,3.9,200,39,0,0,0,0,0,1,Varanasi,Tier 2 Cities,Uttar Pradesh,North India
Love At Every Bite Cafe And Cakes,3.2,250,47,0,1,1,0,0,1,Nashik,Tier 2 Cities,Maharashtra,West India
Love At First Bite,3.3,100,47,0,0,1,1,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Love At First Bite,3.9,100,34,0,0,1,0,0,0,Amritsar,Tier 2 Cities,Punjab,North India
Love Bites,4.0,150,52,0,1,0,0,0,0,Jabalpur,Tier 2 Cities,Madhya Pradesh,Central India
Love Cafe,3.4,150,35,1,1,1,1,0,0,Amritsar,Tier 2 Cities,Punjab,North India
Love Cafetaria,4.0,150,31,1,0,1,0,0,0,Ajmer,Tier 2 Cities,Rajasthan,North India
Love Chinese Corner,4.0,200,42,0,0,1,0,0,0,NCR,NCR,NCR,NCR
Love Kush Bakery,3.5,150,32,0,0,0,0,0,1,Kota,Tier 2 Cities,Rajasthan,North India
Love Over Coffee,4.2,150,36,0,0,0,0,0,0,Bikaner,Tier 2 Cities,Rajasthan,North India
Love Over Coffee,4.3,250,26,0,0,1,0,0,0,Jaipur,Tier 2 Cities,Rajasthan,North India
Love Over Coffee,4.4,100,29,0,0,1,0,0,0,Kota,Tier 2 Cities,Rajasthan,North India
Love Pooriwala,4.2,200,33,0,0,0,1,0,0,NCR,NCR,NCR,NCR
Lovely Bake Studio,4.2,150,30,0,0,0,1,0,1,Jalandhar,Tier 2 Cities,Punjab,North India
Lovely Bake Studio,4.4,100,16,0,0,1,0,0,1,Jalandhar,Tier 2 Cities,Punjab,North India
Lovely Cake Shop,3.2,150,13,0,0,0,0,0,1,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
Lovely Champ,3.8,100,31,0,1,1,0,0,0,Amritsar,Tier 2 Cities,Punjab,North India
Lovely Chicken,3.7,350,34,0,1,0,0,1,0,Surat,Tier 2 Cities,Gujarat,West India
Lovely Da Dhaba,4.0,150,26,0,1,0,0,0,0,Ajmer,Tier 2 Cities,Rajasthan,North India
Lovely Fast Food,4.2,150,23,0,0,1,0,0,0,Saharanpur,Tier 2 Cities,Uttar Pradesh,North India
Lovely Kulcha Land And Champ,3.9,100,28,0,1,1,1,0,0,Amritsar,Tier 2 Cities,Punjab,North India
Lovely Pav Bhaji & Dosa,4.0,350,32,1,1,0,1,0,0,Surat,Tier 2 Cities,Gujarat,West India
Lovely Sweets,4.2,200,37,0,0,0,0,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
Lovely Sweets,4.3,200,19,0,0,0,0,0,0,Jalandhar,Tier 2 Cities,Punjab,North India
Lovely Sweets & Bakers,3.8,100,39,0,0,1,1,0,1,Chandigarh,Tier 2 Cities,Chandigarh,North India
Lovely Taj Hotel,4.0,100,21,1,1,0,0,1,0,Madurai,Tier 2 Cities,Tamil Nadu,South India
Lovely Tilkut Bhandar,4.0,100,22,0,0,0,0,0,0,Gaya,Tier 3 Cities,Bihar,East India
Lovely Vaishno Dhaba,3.9,150,26,0,1,0,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
Lovely's Baker Street,4.4,250,43,0,0,1,0,0,0,Nagpur,Tier 2 Cities,Maharashtra,West India
Lovely's Kitchen Home Made Food,4.5,50,55,0,1,0,0,0,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
Lover Bites,3.0,500,38,0,0,0,1,0,0,Guwahati,Tier 2 Cities,Assam,East India
Lovers Lounge Cafe #60,3.6,100,33,0,0,1,1,0,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Lovers Pizza Point,4.0,100,26,0,0,1,0,0,0,Bareilly,Tier 2 Cities,Uttar Pradesh,North India
Lovyam Sweets,3.8,250,36,0,0,0,0,0,0,Ahmedabad,Tier 1  Cities,Gujarat,West India
Lovyam Sweets & Restaurant,4.0,100,30,1,1,1,1,0,0,Ahmedabad,Tier 1  Cities,Gujarat,West India
LowCal Kitchen By Vintage Machine,4.2,350,46,0,0,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
LSD - Lounge And Sky Dining,3.7,200,21,0,1,1,1,1,0,Jamshedpur,Tier 2 Cities,Jharkhand,East India
LSD - Love Sugar & Dough,3.2,550,41,0,0,0,0,0,1,Mumbai,Tier 1  Cities,Maharashtra,West India
Lucchhe The Hunger Filler,3.6,200,43,0,0,1,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
Luchcha Veer,3.7,150,36,0,1,0,0,0,0,Meerut,Tier 2 Cities,Uttar Pradesh,North India
Lucknavi Tandoori,3.5,250,47,0,1,0,0,0,0,Guwahati,Tier 2 Cities,Assam,East India
Lucknow Bakery,3.6,200,48,0,0,0,0,0,1,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Bakery,3.7,100,42,0,0,0,0,0,1,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Biryani,3.7,150,32,0,1,1,0,1,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Bombay Dosa Chinese,3.7,100,31,1,0,0,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Cakes,4.1,150,41,0,0,0,0,0,1,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Darbaar,4.1,100,43,0,1,0,0,1,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
Lucknow Haat,4.0,100,32,0,0,0,0,1,0,Jhansi,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Handi Chicken,4.1,150,36,0,1,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Kachori Corner,3.7,50,33,0,1,1,1,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Kitchen. In,3.9,300,28,1,1,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Sham-E-Awadh,3.3,100,45,0,1,0,0,1,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknow Zaika,3.3,100,32,0,1,0,0,1,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknowee,3.4,350,41,0,1,0,0,1,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
Lucknowee,3.8,50,38,0,1,0,0,1,0,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Lucknowee,3.8,200,49,0,1,0,0,1,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
Lucknowee,4.0,150,46,0,1,0,0,1,0,NCR,NCR,NCR,NCR
Lucknow-E-Kitchen,3.5,150,40,0,1,0,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknowi Biryani,3.7,100,27,0,1,0,0,1,0,Varanasi,Tier 2 Cities,Uttar Pradesh,North India
Lucknowi Express,4.1,100,26,0,0,0,0,1,0,Goa,Tier 3 Cities,Goa,West India
Lucknowi Rasoi,3.9,100,23,0,1,0,0,0,0,Gorakhpur,Tier 2 Cities,Uttar Pradesh,North India
Lucknowi Thali Central,3.7,200,47,0,1,0,1,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucknowi Zayqa,4.3,350,50,0,1,1,0,0,0,Lucknow,Tier 2 Cities,Uttar Pradesh,North India
Lucky Bakers,4.2,100,25,0,0,1,0,0,1,Indore,Tier 2 Cities,Madhya Pradesh,Central India
Lucky Chicken House,3.5,100,44,0,1,1,0,0,0,Jhansi,Tier 2 Cities,Uttar Pradesh,North India
Lucky Chinese Center,3.9,250,23,0,1,0,1,0,0,Nashik,Tier 2 Cities,Maharashtra,West India
Lucky Da Dhaba,3.7,150,15,0,1,0,0,1,0,Dehradun,Tier 2 Cities,Uttarakhand,North India
Lucky Dhaba,3.1,200,27,0,1,0,0,0,0,Amritsar,Tier 2 Cities,Punjab,North India
Lucky Dhaba,3.5,100,43,0,1,1,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
Lucky Dragon,4.3,350,29,0,0,0,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
Lucky Dragon's,3.2,250,29,0,1,0,0,0,0,Mumbai,Tier 1  Cities,Maharashtra,West India
Lucky Fun 'N' Food,4.0,250,43,0,1,1,0,0,0,Chandigarh,Tier 2 Cities,Chandigarh,North India
Lucky Khatri Non Veg,3.7,150,46,0,1,0,0,0,0,Surat,Tier 2 Cities,Gujarat,West India
Lucky Multicuisine Restaurant,3.8,200,48,0,1,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
Lucky Mydeen Biriyani,4.1,50,25,0,0,0,0,1,0,Madurai,Tier 2 Cities,Tamil Nadu,South India
Lucky Pav Bhaji,3.4,350,44,0,1,0,1,0,0,Surat,Tier 2 Cities,Gujarat,West India
Lucky Restaurant,3.7,250,49,0,0,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
Lucky Restaurant,3.8,200,38,0,1,0,0,1,0,Mumbai,Tier 1  Cities,Maharashtra,West India
Lucky Restaurant,4.0,200,25,0,1,1,1,0,0,Agra,Tier 2 Cities,Uttar Pradesh,North India
Lucky Restaurant,4.2,150,28,0,1,0,0,0,0,Hyderabad,Tier 1  Cities,Telangana,South India
Lucky Restaurant (Since 1938 ),4.0,300,37,0,1,1,0,1,0,Mumbai,Tier 1  Cities,Maharashtra,West India
Lucky Snacks & Champs Point,3.8,250,33,0,1,1,0,0,0,Patiala,Tier 3 Cities,Punjab,North India
Lucky Snacks Point,4.0,250,31,0,0,0,0,0,0,Saharanpur,Tier 2 Cities,Uttar Pradesh,North India
Lucky Star Restaurant,3.6,100,50,1,1,0,1,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
Lucky's Biryani House,3.6,200,36,0,1,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
Lucky's Multi Cuisine Restaurant,3.8,250,44,0,1,0,0,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
Luckys Spice,3.7,150,56,0,0,1,1,1,0,Hyderabad,Tier 1  Cities,Telangana,South India
Ludhiana Eating Hub,4.3,100,20,0,0,1,0,0,0,Ludhiana,Tier 2 Cities,Punjab,North India
